uri	title	url	n	class for black list	alternate image	weight (if not black list or 1)	comment
http://en.wikipedia.org/wiki/Biomarker	Biomarker	https://commons.wikimedia.org/wiki/Special:FilePath/CardiacMarkerComparison.JPG	113				
http://en.wikipedia.org/wiki/Vaccine	Vaccine	https://commons.wikimedia.org/wiki/Special:FilePath/SalkatPitt.jpg	112				
http://en.wikipedia.org/wiki/Nutrition	Nutrition	https://commons.wikimedia.org/wiki/Special:FilePath/Nutrition_label.gif	112				
http://en.wikipedia.org/wiki/Breast_cancer	Breast cancer	https://commons.wikimedia.org/wiki/Special:FilePath/Mammo_breast_cancer_wArrows.jpg	112				
http://en.wikipedia.org/wiki/Tool	Tool	https://commons.wikimedia.org/wiki/Special:FilePath/20060513_toolbox.jpg	111	generic			
http://en.wikipedia.org/wiki/Epidemiology	Epidemiology		111				
http://en.wikipedia.org/wiki/Globalization	Globalization	https://commons.wikimedia.org/wiki/Special:FilePath/Silk_route_copy.jpg	110				
http://en.wikipedia.org/wiki/Inflammation	Inflammation	https://commons.wikimedia.org/wiki/Special:FilePath/Wintertenen.jpg	109				
http://en.wikipedia.org/wiki/Employment	Employment	https://commons.wikimedia.org/wiki/Special:FilePath/Colombia_Jackhammer_01.jpg	109				
http://en.wikipedia.org/wiki/Predation	Predation	https://commons.wikimedia.org/wiki/Special:FilePath/Stud_327_with_Blesbuck.jpg	108				
http://en.wikipedia.org/wiki/Person	Person	https://commons.wikimedia.org/wiki/Special:FilePath/Paul_Klee_WI_(In_Memoriam)_1938.jpg	107				
http://en.wikipedia.org/wiki/Phenotype	Phenotype	https://en.wikipedia.org/wiki/Special:FilePath/Coquina_variation3.jpg	106				
http://en.wikipedia.org/wiki/Tuberculosis	Tuberculosis	https://commons.wikimedia.org/wiki/Special:FilePath/Tuberculosis-x-ray-1.jpg	106				
http://en.wikipedia.org/wiki/Fossil	Fossil	https://commons.wikimedia.org/wiki/Special:FilePath/Permian_Silicified_Sclerobionts.JPG	106				
http://en.wikipedia.org/wiki/Food	Food	https://commons.wikimedia.org/wiki/Special:FilePath/Good_Food_Display_-_NCI_Visuals_Online.jpg	106				
